//X Y Z C2M_signed_distances[<5] R G B
0.05958266 0.00848705 -0.06927231 0.000834 255 172 51
0.08426134 0.01478745 -0.06854229 0.001046 255 172 51
0.08045282 0.00738746 -0.06906827 0.000946 255 172 51
0.07165137 0.00017587 -0.06891411 0.000972 255 172 51
0.06690358 0.00284102 -0.06904946 0.000909 255 172 51
0.06294298 0.00684877 -0.06924662 0.000921 255 172 51
0.08345818 0.02892433 -0.06783800 0.000700 255 172 51
0.07011058 0.04150324 -0.06729867 0.000275 255 172 51
0.08189286 0.04085872 -0.06711011 0.000180 255 172 51
0.08315310 0.03608912 -0.06750741 0.000640 255 172 51
0.08523358 0.02481678 -0.06816370 0.000860 255 172 51
0.08503230 0.02334065 -0.06813749 0.000803 255 172 51
0.08531065 0.02656722 -0.06816982 0.000890 255 172 51
0.08432326 0.01330651 -0.06852403 0.001078 255 172 51
0.07968841 0.00460405 -0.06914742 0.001073 255 172 51
0.07625604 0.00099481 -0.06900872 0.001122 255 172 51
0.06899758 0.00127141 -0.06895294 0.000908 255 172 51
0.07462300 -0.00096977 -0.06894431 0.001096 255 172 51
0.06491835 0.00395596 -0.06914619 0.000927 255 172 51
0.06401549 0.00555077 -0.06920562 0.000931 255 172 51
0.06164094 0.00737879 -0.06926661 0.000899 255 172 51
0.08475313 0.03059990 -0.06796472 0.000925 255 172 51
0.07943915 0.04128650 -0.06720414 0.000218 255 172 51
0.07526280 0.04317900 -0.06724507 0.000170 255 172 51
0.07249290 0.04267289 -0.06727128 0.000221 255 172 51
0.08338482 0.03931635 -0.06725997 0.000383 255 172 51
0.08330336 0.03801756 -0.06741042 0.000535 255 172 51
0.08403184 0.03344085 -0.06772855 0.000832 255 172 51
0.06733141 0.04294765 -0.06740469 0.000317 255 172 51
0.08631623 0.01593322 -0.06814747 0.000921 255 172 51
0.08722488 0.01747142 -0.06811585 0.000971 255 172 51
0.08771749 0.02161258 -0.06814751 0.000995 255 172 51
0.08675244 0.02401665 -0.06819887 0.000942 255 172 51
0.08643948 0.02915325 -0.06824538 0.001059 255 172 51
0.08552654 0.01472676 -0.06819518 0.000912 255 172 51
0.08507144 0.01396507 -0.06828117 0.000953 255 172 51
0.07873210 0.00110351 -0.06920227 0.001309 255 172 51
0.06954680 -0.00107604 -0.06890581 0.000924 255 172 51
0.07317958 -0.00261937 -0.06890839 0.001069 255 172 51
0.06670229 -0.00047806 -0.06899471 0.000913 255 172 51
0.06410838 0.00173809 -0.06914625 0.000944 255 172 51
0.08138399 0.00586425 -0.06910411 0.000789 255 172 51
0.06076229 0.00623440 -0.06929098 0.000918 255 172 51
0.06194127 0.00656869 -0.06928040 0.000934 255 172 51
